[ 2025-09-08 12:44:17,119 ] 15 root - INFO - Starting data ingestion
[ 2025-09-08 12:44:21,551 ] 73 root - INFO - Performed train test split on dataframe
[ 2025-09-08 12:44:21,551 ] 75 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[ 2025-09-08 12:44:21,552 ] 79 root - INFO - Exporting train and test file_path.
[ 2025-09-08 12:44:21,616 ] 84 root - INFO - Exported train and test file_path.
[ 2025-09-08 12:44:21,617 ] 17 root - INFO - Data ingestion completed
[ 2025-09-08 12:44:21,617 ] 19 root - INFO - Starting data validation
[ 2025-09-08 12:44:21,718 ] 37 root - INFO - Required number of columns: 2
[ 2025-09-08 12:44:21,732 ] 38 root - INFO - Dataframe has columns: 31
[ 2025-09-08 12:44:21,732 ] 41 root - INFO - Dataframe column count does not match schema.
[ 2025-09-08 12:44:21,732 ] 37 root - INFO - Required number of columns: 2
[ 2025-09-08 12:44:21,732 ] 38 root - INFO - Dataframe has columns: 31
[ 2025-09-08 12:44:21,734 ] 41 root - INFO - Dataframe column count does not match schema.
[ 2025-09-08 12:44:21,933 ] 23 root - INFO - Data validation completed
[ 2025-09-08 12:44:21,934 ] 25 root - INFO - Starting data transformation
[ 2025-09-08 12:44:21,934 ] 60 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2025-09-08 12:44:21,934 ] 62 root - INFO - Initiating data transformation
[ 2025-09-08 12:44:21,961 ] 39 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-09-08 12:44:21,961 ] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-08 12:44:21,961 ] 77 root - INFO - Fitting and transforming the training data
[ 2025-09-08 12:44:21,972 ] 85 root - INFO - Data transformation completed successfully
[ 2025-09-08 12:44:21,992 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-08 12:44:21,996 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-08 12:44:21,996 ] 91 root - INFO - Saved transformed training and testing array
[ 2025-09-08 12:44:21,997 ] 30 root - INFO - Data transformation completed
